TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6532550523	AT4G24020	AT4G24020.2	protein_coding	Encodes NIN Like Protein 7 (NLP7).  Modulates nitrate sensing and metabolism.  Mutants of NLP7 show features of nitrogen-starved plants and are tolerant to drought stress.  Localized in the nucleus and functions as a putative transcription factor.The mRNA is cell-to-cell mobile.		 DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, cis-regulatory region sequence-specific DNA binding, collective leaf structure, core promoter sequence-specific DNA binding, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nitrate assimilation, nucleus, parenchyma cell, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to nitrate, response to water deprivation, root, root hair cell, seed, seminal root, sepal, shoot apex, shoot axis vascular system, shoot system, stamen, stem, stomatal complex, stomatal movement, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	true
Gene:1009022375	AT5G21170	AT5G21170.2	protein_coding	Encodes AKINbeta1, a subunit of the SnRK1 kinase (Sucrose non-fermenting-1-related protein kinase).  Involved in regulation of nitrogen and sugar metabolism. As part of the regulatory subunit, it binds maltose which promotes kinase activity. Acts as a global regulator of genes involved in carbon, lipid and nitrogen metabolism.	AKINBETA1; KINBETA1	 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, N-terminal protein myristoylation, carpel, cauline leaf, cellular response to nitrogen levels, chloroplast, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, maltose binding, mature plant embryo stage, nucleotide-activated protein kinase complex, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule, plant sperm cell, pollen, pollen tube cell, protein binding, protein kinase regulator activity, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2167194	AT5G17290	AT5G17290.1	protein_coding	Autophagy protein ATG5. Forms a conjugate with ATG12 with an essential role in plant nutrient recycling. Mutants missing ATG5 display early senescence and are hypersensitive to nitrogen or carbon starvation, accompanied by a more rapid loss of organellar and cytoplasmic proteins.	APG5; ATATG5; ATG5; AUTOPHAGY 5	 cytoplasm, Atg12-Atg5-Atg16 complex, Atg8-family ligase activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, autophagosome, autophagy, autophagy of mitochondrion, carpel, cauline leaf, cellular response to nitrogen starvation, collective leaf structure, cotyledon, cytoplasm, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, leaf senescence, mature plant embryo stage, mitochondria-associated endoplasmic reticulum membrane, petal, petal differentiation and expansion stage, petiole, phagophore, phagophore assembly site membrane, piecemeal microautophagy of the nucleus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein lipidation involved in autophagosome assembly, response to starvation, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532558670	AT3G26680	AT3G26680.4	protein_coding	involved in a SNM-dependent recombinational  repair process of oxidatively induced DNA damage.		 nucleus, 5'-3' DNA exonuclease activity, DNA repair, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, damaged DNA binding, double-strand break repair via nonhomologous end joining, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, interstrand cross-link repair, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2130323	AT4G15530	AT4G15530.1	protein_coding	The product of this long transcript was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. They were also found in slightly different tissues.	PPDK; PYRUVATE ORTHOPHOSPHATE DIKINASE	 chloroplast, chloroplast stroma, cytosol, seed, cultured plant cell, pollen, L mature pollen stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, pollen, pollen tube cell, pyruvate metabolic process, pyruvate, phosphate dikinase activity, rosette leaf, seed, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532560683	AT5G50950	AT5G50950.4	protein_coding	Encodes a fumarase enzyme initially shown to be in the mitochondria through proteomic studies but later shown to be present in the cytosol using an RFP fluorescent protein tag. It appears to be important for the accumulation of fumarate from malate in leaves in the light, and helps to promote nitrogen assimilation under high nitrogen conditions. It does not appear to be necessary for lipid metabolism and seedling growth. Inhibition of fumarate accumulation results in an overall shift in the cold response of leaves, with a complete inhibition of cold acclimation of photosynthesis.		 L mature pollen stage, M germinated pollen stage, chloroplast, cold acclimation, cytosol, fumarate hydratase activity, fumarate metabolic process, guard cell, malate metabolic process, mitochondrion, nitrate assimilation, plastid, pollen, pollen tube cell, protein binding, protein tetramerization, regulation of photosynthesis, root, rosette leaf, tricarboxylic acid cycle, tricarboxylic acid cycle enzyme complex	true
Gene:4010712895	AT4G15530	AT4G15530.5	protein_coding	Encodes a dual-targeted protein believed to act as a pyruvate, orthophosphate dikinase. These enzymes are normally associated with C4 photosynthesis which does not occur in Arabidopsis. However, PPDK may play a role in remobilizing nitrogen during leaf senescence in Arabidopsis. The product of the long transcript (.1 gene model) was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. The two proteins were also found to be expressed in slightly different tissues.	PPDK; PYRUVATE ORTHOPHOSPHATE DIKINASE	 chloroplast, cytosol, seed, cultured plant cell, L mature pollen stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, pollen, pollen tube cell, pyruvate metabolic process, pyruvate, phosphate dikinase activity, rosette leaf, seed, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2155055	AT5G66320	AT5G66320.1	protein_coding	Encodes GATA transcription factor gene GNC, involved in regulating carbon and nitrogen metabolism. Expression occurs in aerial tissue at an early stage of  development and is inducible by nitrate.	GATA TRANSCRIPTION FACTOR 5; GATA5	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell differentiation, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6532552671	AT5G67420	AT5G67420.2	protein_coding	Encodes a LOB-domain protein involved in nitrogen metabolism and affecting leaf morphogenesis.		 mitochondrion, DNA-binding transcription repressor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nitrogen compound metabolic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, regulation of gene expression, root, seed, sepal, shoot apex, shoot system, simple leaf morphogenesis, stamen, stem, transcription cis-regulatory region binding, vascular leaf, vascular leaf senescent stage	true
Gene:2042916	AT2G38290	AT2G38290.1	protein_coding	encodes a high-affinity ammonium transporter, which is expressed in shoot and root. Expression in root and shoot is under nitrogen and carbon dioxide regulation, respectively.	AMMONIUM TRANSPORTER 2; AMMONIUM TRANSPORTER 2;1; AMT2; AMT2;1; ATAMT2	 cytoplasm, plasmodesma, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, ammonium transmembrane transport, ammonium transmembrane transporter activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, high-affinity secondary active ammonium transmembrane transporter activity, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, response to nematode, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005715024	AT2G42600	AT2G42600.2	protein_coding	Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.PPC1 and PPC2 are crucial for balancing carbon and nitrogen metabolism.	ATPPC2; PHOSPHOENOLPYRUVATE CARBOXYLASE 2; PPC2	 chloroplast, cytoplasm, plasmodesma, apoplast, vascular leaf, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf, leaf apex, leaf development, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphoenolpyruvate carboxylase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasmodesma, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, tricarboxylic acid cycle, vascular leaf, vascular leaf senescent stage	true
Gene:4010712927	AT4G21980	AT4G21980.2	protein_coding	Encodes APG8, a component of autophagy conjugation pathway. Delivered to the lumens of  vacuole under nitrogen-starvation condition. Highest expression in flowers. mRNA abundance increased during dark-induced  carbon starvation. Predominantly cytoplasmic with or without N starvation. Upon concanamycin A the protein accumulates in the central vacuole as punctuate structures that resemble autophagic bodies. This localization  is more abundant upon N starvation. The mRNA is cell-to-cell mobile.	APG8A; ATG8A; AUTOPHAGY 8A; AUTOPHAGY-RELATED 8A	 chloroplast, Atg8 activating enzyme activity, Atg8-family ligase activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, autophagosome, autophagosome assembly, autophagosome maturation, autophagosome membrane, autophagy, autophagy of mitochondrion, carpel, cauline leaf, cell-to-cell mobile RNA, cellular response to nitrogen starvation, chloroplast, collective leaf structure, cotyledon, cytoplasm, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phagophore, phosphatidylethanolamine binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, protein-phosphatidylethanolamide deconjugating activity, root, seed, sepal, shoot apex, shoot system, stamen, stem, vacuolar lumen, vascular leaf, vascular leaf senescent stage	true
Gene:6532561934	AT2G28260	AT2G28260.2	protein_coding	Cyclic nucleotide gated channel family member, involved in response to calcium and nitrate induced calcium signaling.Forms a membrane complex with NRT1.1 that couples nitrogen sensing with Ca2+ signaling.		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium ion transmembrane transport, calcium ion transmembrane transporter activity, carpel, cauline leaf, cellular response to nitrate, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, plasma membrane, protein binding, response to bacterium, response to calcium ion, root, sepal, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, voltage-gated potassium channel activity	false
Gene:2035422	AT1G19880	AT1G19880.1	protein_coding	Encodes a regulator of chromatin condensation 1 (RCC1) family protein; confers plasticity of rosette diameter in response to changes in N availability.	PLASTICITY OF ROSETTE TO NITROGEN 1; PROTON1	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, negative regulation of GTPase activity, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, root, seed, sepal, shoot apex, shoot system, small GTPase binding, stamen, stem, vascular leaf, vascular leaf senescent stage	true
