GeneID,#Name,Accession,Start,Stop,Strand,Locus,Locus tag,Protein product,Length,Protein Name
936551,chromosome,NC_000964.3,36478,37638,-,yaaN,BSU00260,NP_387907.1,386,putative toxic compound resistance protein
937013,chromosome,NC_000964.3,37720,39162,-,yaaO,BSU00270,NP_387908.1,480,putative decarboxylase
937018,chromosome,NC_000964.3,39159,39797,-,tmk,BSU00280,NP_387909.2,212,thymidylate kinase
938610,chromosome,NC_000964.3,39871,40200,-,darA,BSU00290,NP_387910.1,109,"signal transduction receptor, cyclic di-AMP binding"
936756,chromosome,NC_000964.3,40213,40653,-,yaaR,BSU00300,NP_387911.1,146,conserved hypothetical protein
935949,chromosome,NC_000964.3,40665,41654,-,holB,BSU00310,NP_387912.1,329,DNA polymerase III clamp loader delta\\' subunit
937012,chromosome,NC_000964.3,41657,42484,-,ricT,BSU00320,NP_387913.1,275,"subunit of a sporulation, competence and biofilm formation regulatory complex of RNaseY (RicAFT complex / FAD / two"
937008,chromosome,NC_000964.3,42499,42858,-,dnaH,BSU00330,NP_387914.1,119,subunit of the DNA replication complex
937011,chromosome,NC_000964.3,42917,43660,-,trmNF,BSU00340,NP_387915.1,247,tRNA1(Val) (adenine(37)-N6)-methyltransferase
937002,chromosome,NC_000964.3,43647,43946,-,yazA,BSU00350,NP_387916.1,99,putative UvrC-Intron-type (URI) endonuclease
937010,chromosome,NC_000964.3,43921,44799,-,rsmI,BSU00360,NP_387917.1,292,16S rRNA 2\\'-O-ribose C1402 methyltransferase
937009,chromosome,NC_000964.3,44848,45138,-,abrB,BSU00370,NP_387918.1,96,transcriptional regulator for transition state genes (AbrB-SurF)
936877,chromosome,NC_000964.3,45633,47627,-,metS,BSU00380,NP_387919.1,664,methionyl-tRNA synthetase
936949,chromosome,NC_000964.3,47706,48473,-,dayD,BSU00390,NP_387920.1,255,D-amino acyl-tRNA deacylase
936891,chromosome,NC_000964.3,48629,49942,-,yabE,BSU00400,NP_387921.1,437,putative cell wall shaping enzyme
937001,chromosome,NC_000964.3,50087,50647,-,rnmV,BSU00410,NP_387922.1,186,ribonuclease M5
936358,chromosome,NC_000964.3,50640,51518,-,rsmA,BSU00420,NP_387923.1,292,dimethyladenosine 16S ribosomal RNA transferase
937005,chromosome,NC_000964.3,51680,52552,-,prtG,BSU00430,NP_387924.1,290,sporulation-specific protease
936744,chromosome,NC_000964.3,52763,53023,-,veg,BSU00440,NP_387925.1,86,conserved hypothetical protein
936996,chromosome,NC_000964.3,53183,53368,-,sspF,BSU00450,NP_387926.1,61,small acid-soluble spore protein (alpha/beta-type SASP)
936970,chromosome,NC_000964.3,53516,54385,-,ispE,BSU00460,NP_387927.1,289,4-(cytidine 5\\'-diphospho)-2-C-methyl-D-erythritol kinase
937000,chromosome,NC_000964.3,54441,55298,-,purR,BSU00470,NP_387928.1,285,transcriptional regulator of the purine biosynthesis operon (PurR-pRpp)
936988,chromosome,NC_000964.3,55295,55672,-,ridA,BSU00480,NP_387929.1,125,aminoacrylate/iminopropionate hydrolase/deaminase
936959,chromosome,NC_000964.3,55866,56159,-,spoVG,BSU00490,NP_387930.1,97,regulator required for spore cortex synthesis (stage V sporulation)
936139,chromosome,NC_000964.3,56352,57722,-,glmU,BSU00500,NP_387931.1,456,bifunctional glucosamine-1-phosphate N-acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase
936985,chromosome,NC_000964.3,57745,58698,-,prs,BSU00510,NP_387932.1,317,phosphoribosylpyrophosphate synthetase
936984,chromosome,NC_000964.3,58783,59397,-,ctc,BSU00520,NP_387933.1,204,"ribosomal protein BL25 (Ctc), binding 5S RNA"
936740,chromosome,NC_000964.3,59504,60070,-,pth,BSU00530,NP_387934.1,188,peptidyl-tRNA hydrolase
936978,chromosome,NC_000964.3,60130,60360,-,fin,BSU00540,NP_387935.1,76,protein required for the switch from F to G during sporulation (anti sigma F)
936653,chromosome,NC_000964.3,60430,63963,-,mfd,BSU00550,NP_387936.1,1177,transcription-repair coupling factor
936975,chromosome,NC_000964.3,64099,64635,-,spoVT,BSU00560,NP_387937.1,178,transcriptional regulator of sporulation / germination
936539,chromosome,NC_000964.3,64817,66415,-,yabM,BSU00570,NP_387938.1,532,putative exporter
936973,chromosome,NC_000964.3,66405,67874,-,yabN,BSU00580,NP_387939.1,489,putative fusion methylase and nucleotide pyrophosphohydrolase
936800,chromosome,NC_000964.3,67877,68137,-,hslR,BSU00590,NP_387940.1,86,ribosomal RNA binding protein involved in 50S recycling; heat shock protein
936966,chromosome,NC_000964.3,68216,68518,-,spcP,BSU00600,NP_387941.1,100,spore protein involved in the shaping of the spore coat
936971,chromosome,NC_000964.3,68515,69150,-,spcQ,BSU00610,NP_387942.1,211,membrane protein of the forespore
936786,chromosome,NC_000964.3,69168,69545,-,divIC,BSU00620,NP_387943.1,125,cell-division initiation protein
936574,chromosome,NC_000964.3,69626,70012,-,yabR,BSU00630,NP_387944.1,128,putative RNA degradation protein; polyribonucleotide nucleotidyltransferase or phosphorylase
938480,chromosome,NC_000964.3,70538,73021,-,spoIIE,BSU00640,NP_387945.1,827,SpoIIAA-phosphate serine phosphatase
936965,chromosome,NC_000964.3,73106,73843,-,yabS,BSU00650,NP_387946.1,245,conserved protein of unknown function
936964,chromosome,NC_000964.3,73809,74825,-,prkT,BSU00660,NP_387947.2,338,serine/threonine-protein kinase
936922,chromosome,NC_000964.3,74929,76347,-,tilS,BSU00670,NP_387948.1,472,tRNA(ile2) lysidine synthetase
936945,chromosome,NC_000964.3,76344,76886,-,hprT,BSU00680,NP_387949.1,180,hypoxanthine-guanine phosphoribosyltransferase
938094,chromosome,NC_000964.3,76984,78897,-,ftsH,BSU00690,NP_387950.1,637,ATP-dependent cytoplasmic membrane protease
936960,chromosome,NC_000964.3,79092,79868,-,coaX,BSU00700,NP_387951.2,258,pantothenate kinase type III
936762,chromosome,NC_000964.3,79880,80755,-,hslO,BSU00710,NP_387952.1,291,disulfide bond chaperone (heat shock protein HSP33)
936955,chromosome,NC_000964.3,80802,81695,-,yacD,BSU00720,NP_387953.1,297,putative protein chaperone accessory lipoprotein factor
936636,chromosome,NC_000964.3,81771,82697,-,cysK,BSU00730,NP_387954.1,308,cysteine synthase
936926,chromosome,NC_000964.3,82864,84276,-,pabB,BSU00740,NP_387955.1,470,4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase)
936441,chromosome,NC_000964.3,84290,84874,-,pabA,BSU00750,NP_387956.1,194,4-amino-4-deoxychorismate synthase; anthranilate synthase (subunit II)
936944,chromosome,NC_000964.3,84874,85755,-,pabC,BSU00760,NP_387957.1,293,4-amino-4-deoxychorismate pyruvate-lyase
936256,chromosome,NC_000964.3,85737,86594,-,folP,BSU00770,NP_387958.1,285,dihydropteroate synthase
937976,chromosome,NC_000964.3,86587,86949,-,folB,BSU00780,NP_387959.1,120,dihydroneopterin aldolase
936940,chromosome,NC_000964.3,86946,87449,-,folK,BSU00790,NP_387960.1,167,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase"
936295,chromosome,NC_000964.3,87401,87610,-,yazB,BSU00800,NP_387961.1,69,putative transcriptional regulator
936924,chromosome,NC_000964.3,87634,88635,-,dusB,BSU00810,NP_387962.1,333,tRNA-dihydrouridine synthase B
936911,chromosome,NC_000964.3,88727,90226,-,lysS,BSU00820,NP_387963.1,499,lysyl-tRNA synthetase
936883,chromosome,NC_000964.3,101449,101913,-,ctsR,BSU00830,NP_387964.1,154,transcriptional regulator of class III stress genes
936845,chromosome,NC_000964.3,101927,102484,-,mcsA,BSU00840,NP_387965.1,185,activator of protein kinase McsB
936939,chromosome,NC_000964.3,102484,103575,-,mcsB,BSU00850,NP_387966.1,363,protein arginine kinase
938481,chromosome,NC_000964.3,103572,106004,-,clpC,BSU00860,NP_387967.1,810,"class III stress response-related ATPase, AAA+ superfamily"
936872,chromosome,NC_000964.3,106096,107472,-,radA,BSU00870,NP_387968.1,458,DNA repair protein; 6-O-methylguanine-DNA methyltransferase
936868,chromosome,NC_000964.3,107476,108558,-,disA,BSU00880,NP_387969.1,360,diadenylate cyclase; DNA integrity scanning protein; cell cycle checkpoint DNA scanning protein
936863,chromosome,NC_000964.3,108674,109774,-,yacL,BSU00890,NP_387970.1,366,putative membrane protein possibly involved in RNA binding
936855,chromosome,NC_000964.3,109789,110487,-,ispD,BSU00900,NP_387971.1,232,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway"
936634,chromosome,NC_000964.3,110480,110956,-,ispF,BSU00910,NP_387972.1,158,"2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase"
936862,chromosome,NC_000964.3,111047,112498,-,gltX,BSU00920,NP_387973.1,483,glutamyl-tRNA synthetase
936831,chromosome,NC_000964.3,112800,113453,-,cysE,BSU00930,NP_387974.1,217,serine O-acetyltransferase
936859,chromosome,NC_000964.3,113450,114850,-,cysS,BSU00940,NP_387975.1,466,dual cysteinyl-tRNA synthetase; cysteine persulfide synthase
936369,chromosome,NC_000964.3,114854,115285,-,mrnC,BSU00950,NP_387976.1,143,"ribonuclease for 23S RNA maturation, mini-RNase III"
936861,chromosome,NC_000964.3,115269,116018,-,rlmB,BSU00960,NP_387977.1,249,23S rRNA (Gm2251)-methyltransferase
936993,chromosome,NC_000964.3,116025,116537,-,raeA,BSU00970,NP_387978.1,170,ribosome-dependent mRNA endonuclease
936150,chromosome,NC_000964.3,116600,117256,-,sigH,BSU00980,NP_387979.1,218,RNA polymerase sigma-30 factor (sigma(H))
936842,chromosome,NC_000964.3,117349,117498,-,rpmGB,BSU00990,NP_387980.1,49,ribosomal protein L33
936856,chromosome,NC_000964.3,117532,117711,-,secE,BSU01000,NP_387981.1,59,preprotein translocase subunit
936851,chromosome,NC_000964.3,117890,118423,-,nusG,BSU01010,NP_387982.1,177,RNA polymerase elongation pause factor
936838,chromosome,NC_000964.3,118591,119016,-,rplK,BSU01020,NP_387983.2,141,ribosomal protein L11 (BL11)
936843,chromosome,NC_000964.3,119111,119809,-,rplA,BSU01030,NP_387984.2,232,ribosomal protein L1 (BL1)
936153,chromosome,NC_000964.3,120061,120561,-,rplJ,BSU01040,NP_387985.2,166,ribosomal protein L10 (BL5)
935952,chromosome,NC_000964.3,120607,120978,-,rplL,BSU01050,NP_387986.1,123,ribosomal protein L12 (BL9)
938465,chromosome,NC_000964.3,121068,121673,-,rlmG,BSU01060,NP_387987.1,201,23S rRNA m2G1835 methyltransferase
936335,chromosome,NC_000964.3,121919,125500,-,rpoB,BSU01070,NP_387988.2,1193,RNA polymerase (beta subunit)
935977,chromosome,NC_000964.3,125562,129161,-,rpoC,BSU01080,NP_387989.2,1199,RNA polymerase (beta\\' subunit)
936829,chromosome,NC_000964.3,129340,129588,-,rulS,BSU01090,NP_387990.1,82,K-turn RNA binding protein; alternative ribosomal protein L7A
936616,chromosome,NC_000964.3,129702,130118,-,rpsL,BSU01100,NP_387991.2,138,ribosomal protein S12 (BS12)
935997,chromosome,NC_000964.3,130160,130630,-,rpsG,BSU01110,NP_387992.2,156,ribosomal protein S7 (BS7)
936826,chromosome,NC_000964.3,130684,132762,-,fusA,BSU01120,NP_387993.2,692,elongation factor G
935965,chromosome,NC_000964.3,132882,134072,-,tufA,BSU01130,NP_387994.1,396,elongation factor Tu
936866,chromosome,NC_000964.3,134171,135127,-,ybaC,BSU01140,NP_387995.2,318,putative proline iminopeptidase
936825,chromosome,NC_000964.3,135364,135672,-,rpsJ,BSU01150,NP_387996.1,102,ribosomal protein S10 (BS13); transcription antitermination factor
936239,chromosome,NC_000964.3,135712,136341,-,rplC,BSU01160,NP_387997.1,209,ribosomal protein L3 (BL3)
936690,chromosome,NC_000964.3,136369,136992,-,rplD,BSU01170,NP_387998.1,207,ribosomal protein L4
936820,chromosome,NC_000964.3,136992,137279,-,rplW,BSU01180,NP_387999.2,95,ribosomal protein L23
936817,chromosome,NC_000964.3,137311,138144,-,rplB,BSU01190,NP_388000.2,277,ribosomal protein L2 (BL2)
936818,chromosome,NC_000964.3,138202,138480,-,rpsS,BSU01200,NP_388001.1,92,ribosomal protein S19 (BS19)
938123,chromosome,NC_000964.3,138497,138838,-,rplV,BSU01210,NP_388002.1,113,ribosomal protein L22 (BL17)
936808,chromosome,NC_000964.3,138842,139498,-,rpsC,BSU01220,NP_388003.2,218,ribosomal protein S3 (BS3)
936807,chromosome,NC_000964.3,139500,139934,-,rplP,BSU01230,NP_388004.1,144,ribosomal protein L16
936801,chromosome,NC_000964.3,139924,140124,-,rpmC,BSU01240,NP_388005.1,66,ribosomal protein L29
936805,chromosome,NC_000964.3,140147,140410,-,rpsQ,BSU01250,NP_388006.1,87,ribosomal protein S17 (BS16)
935939,chromosome,NC_000964.3,140451,140819,-,rplNA,BSU01260,NP_388007.1,122,ribosomal protein L14
936799,chromosome,NC_000964.3,140857,141168,-,rplX,BSU01270,NP_388008.1,103,ribosomal protein L24 (BL23)
936981,chromosome,NC_000964.3,141195,141734,-,rplE,BSU01280,NP_388009.1,179,ribosomal protein L5 (BL6)
935946,chromosome,NC_000964.3,141757,141942,-,rpsNA,BSU01290,NP_388010.1,61,ribosomal protein S14
936328,chromosome,NC_000964.3,141974,142372,-,rpsH,BSU01300,NP_388011.2,132,ribosomal protein S8 (BS8)
938229,chromosome,NC_000964.3,142402,142941,-,rplF,BSU01310,NP_388012.1,179,ribosomal protein L6 (BL8)
936785,chromosome,NC_000964.3,142974,143336,-,rplR,BSU01320,NP_388013.2,120,ribosomal protein L18
938012,chromosome,NC_000964.3,143361,143861,-,rpsE,BSU01330,NP_388014.1,166,ribosomal protein S5
936920,chromosome,NC_000964.3,143875,144054,-,rpmD,BSU01340,NP_388015.1,59,ribosomal protein L30 (BL27)
935940,chromosome,NC_000964.3,144085,144525,-,rplO,BSU01350,NP_388016.1,146,ribosomal protein L15
936779,chromosome,NC_000964.3,144527,145822,-,secY,BSU01360,NP_388017.1,431,preprotein translocase subunit
938508,chromosome,NC_000964.3,145877,146530,-,adk,BSU01370,NP_388018.1,217,adenylate kinase
938929,chromosome,NC_000964.3,146527,147273,-,mapA,BSU01380,NP_388019.1,248,methionine aminopeptidase
8303095,chromosome,NC_000964.3,147312,147536,-,ybzG,BSU01389,YP_003097669.1,74,putative ribosome binding protein
938924,chromosome,NC_000964.3,147585,147803,-,infA,BSU01390,NP_388020.1,72,initiation factor IF-I
938927,chromosome,NC_000964.3,147837,147950,-,rpmJ,BSU01400,NP_388021.1,37,ribosomal protein L36 (ribosomal protein B)
938928,chromosome,NC_000964.3,147973,148338,-,rpsM,BSU01410,NP_388022.2,121,ribosomal protein S13
938926,chromosome,NC_000964.3,148359,148754,-,rpsK,BSU01420,NP_388023.1,131,ribosomal protein S11 (BS11)
938921,chromosome,NC_000964.3,148931,149875,-,rpoA,BSU01430,NP_388024.1,314,RNA polymerase (alpha subunit)
938918,chromosome,NC_000964.3,149953,150315,-,rplQ,BSU01440,NP_388025.1,120,ribosomal protein L17 (BL15)
938925,chromosome,NC_000964.3,150443,151288,-,ecfA,BSU01450,NP_388026.2,281,energizing coupling factor of ABC influx transporter (ATP-binding protein)
938922,chromosome,NC_000964.3,151303,152133,-,ecfAB,BSU01460,NP_388027.1,276,energizing coupling factor of ABC influx transporter (ATP-binding protein)
938923,chromosome,NC_000964.3,152130,152927,-,ecfT,BSU01470,NP_388028.2,265,component of the influx ECF transporters
938920,chromosome,NC_000964.3,152937,153680,-,truA,BSU01480,NP_388029.2,247,tRNA pseudouridine (38-40) synthase
938915,chromosome,NC_000964.3,153842,154279,-,rplM,BSU01490,NP_388030.2,145,ribosomal protein L13
938912,chromosome,NC_000964.3,154300,154692,-,rpsI,BSU01500,NP_388031.1,130,ribosomal protein S9
938919,chromosome,NC_000964.3,155156,155923,-,ybaJ,BSU01510,NP_388032.2,255,putative methyltransferase
938916,chromosome,NC_000964.3,156109,156552,-,ybaK,BSU01520,NP_388033.1,147,conserved protein of unknown function
938917,chromosome,NC_000964.3,156612,157325,-,cwlD,BSU01530,NP_388034.1,237,N-acetylmuramoyl-L-alanine amidase
938914,chromosome,NC_000964.3,157421,158479,-,salA,BSU01540,NP_388035.1,352,phosphorylation-dependent (Y327) transcriptional regulator
938910,chromosome,NC_000964.3,158515,159072,-,gerD,BSU01550,NP_388036.1,185,lipoprotein factor mediating clustering of germination proteins
938913,chromosome,NC_000964.3,159182,159778,-,kbaA,BSU01560,NP_388037.1,198,inner membrane protein involved in activation of the KinB signaling pathway to sporulation
938911,chromosome,NC_000964.3,159779,160543,-,pdaB,BSU01570,NP_388038.1,254,polysaccharide deacetylase involved in sporulation
938890,chromosome,NC_000964.3,177083,178519,-,ybaR,BSU01580,NP_388039.1,478,putative permease
938892,chromosome,NC_000964.3,178665,179585,-,ybaS,BSU01590,NP_388040.2,306,putative sodium dependent transporter
938887,chromosome,NC_000964.3,179595,180347,-,eesA,BSU01600,NP_388041.2,250,iron-chelator (enterobactin family) esterase
938893,chromosome,NC_000964.3,180344,181354,-,feuC,BSU01610,NP_388042.2,336,iron-uptake protein
938884,chromosome,NC_000964.3,181347,182351,-,feuB,BSU01620,NP_388043.1,334,ferri-bacillibactin permease
938891,chromosome,NC_000964.3,182370,183323,-,feuA,BSU01630,NP_388044.1,317,ferri-bacillibactin-binding lipoprotein
938888,chromosome,NC_000964.3,183414,185003,-,btr,BSU01640,NP_388045.1,529,transcriptional activator (AraC/XylS family) of synthesis and uptake of the siderophore bacillibactin
938889,chromosome,NC_000964.3,185194,186438,-,ybbC,BSU01650,NP_388046.1,414,conserved protein of unknown function
938881,chromosome,NC_000964.3,186452,188380,-,nagZ,BSU01660,NP_388047.1,642,N-acetylglucosaminidase lipoprotein
938886,chromosome,NC_000964.3,188408,189733,-,amiE,BSU01670,NP_388048.2,441,amidase hydrolyzing N-acetylmuramyl-L-Ala bond of MurNAc peptides
938879,chromosome,NC_000964.3,189790,191157,-,murP,BSU01680,NP_388049.3,455,N-acetylmuramic acid PTS permease-MurP subunit
938885,chromosome,NC_000964.3,191183,192034,-,murR,BSU01690,NP_388050.1,283,transcriptional regulator MurR-N-acetylmuramic acid
938882,chromosome,NC_000964.3,192051,192965,-,murQ,BSU01700,NP_388051.1,304,D-lactyl ether N-acetylmuramic-6-phosphate acid etherase
938883,chromosome,NC_000964.3,193075,193557,-,ybbJ,BSU01710,NP_388052.2,160,putative acyltransferase
938877,chromosome,NC_000964.3,193570,194025,-,ybbK,BSU01720,NP_388053.2,151,conserved protein of unknown function
938868,chromosome,NC_000964.3,194849,195412,-,sigW,BSU01730,NP_388054.1,187,RNA polymerase ECF(extracytoplasmic function)-type sigma factor W
938876,chromosome,NC_000964.3,195426,196052,-,rsiW,BSU01740,NP_388055.1,208,anti-sigma(W) factor
938735,chromosome,NC_000964.3,196213,197034,-,cdaA,BSU01750,NP_388056.2,273,diadenylate cyclase
938867,chromosome,NC_000964.3,197027,198478,-,cdaR,BSU01760,NP_388057.2,483,regulator of diadenylate cyclase activity
938632,chromosome,NC_000964.3,198497,199843,-,glmM,BSU01770,NP_388058.1,448,phosphoglucosamine mutase
938736,chromosome,NC_000964.3,200277,202079,-,glmS,BSU01780,NP_388059.1,600,L-glutamine-D-fructose-6-phosphate amidotransferase
37862790,chromosome,NC_000964.3,202126,202266,-,ybbU,BSU01790,YP_009513939.1,46,hypothetical protein BSU_01790
938586,chromosome,NC_000964.3,202547,203458,-,alkA,BSU01800,NP_388061.1,303,DNA-3-methyladenine glycosylase; prophage 1 region
938648,chromosome,NC_000964.3,203729,204364,-,adaA,BSU01810,NP_388062.1,211,methylphosphotriester-DNA alkyltransferase and transcriptional regulator (AraC/XylS family)
938673,chromosome,NC_000964.3,204351,204890,-,adaB,BSU01820,NP_388063.1,179,O6-methylguanine-DNA methyltransferase; prophage 1 region
938593,chromosome,NC_000964.3,205409,206926,-,ndhF,BSU01830,NP_388064.1,505,putative NADH dehydrogenase; prophage 1 region
938603,chromosome,NC_000964.3,206941,209556,-,ybcC,BSU01845,NP_388065.2,871,conserved transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog; prophage 1 region
938524,chromosome,NC_000964.3,209633,210160,-,ybcF,BSU01860,NP_388067.1,175,putative enzyme; prophage 1 region
938573,chromosome,NC_000964.3,210224,210514,-,ybcH,BSU01870,NP_388068.1,96,conserved protein of unknown function; prophage 1 region
938568,chromosome,NC_000964.3,210572,210946,-,ybcI,BSU01880,NP_388069.1,124,conserved hypothetical protein; prophage 1 region
8302965,chromosome,NC_000964.3,211429,211731,-,ybzH,BSU01889,YP_003097670.1,100,putative transcriptional regulator (ArsR family); prophage 1 region
938536,chromosome,NC_000964.3,211859,213031,-,ybcL,BSU01890,NP_388070.1,390,putative efflux transporter; prophage 1 region
938504,chromosome,NC_000964.3,213155,213469,-,ybcM,BSU01900,NP_388071.1,104,putative enzyme
938506,chromosome,NC_000964.3,213941,214108,-,skfA,BSU01910,NP_388072.1,55,sporulation killing factor A
938501,chromosome,NC_000964.3,214175,215407,-,skfB,BSU01920,NP_388073.2,410,synthesis of sporulation killing factor A
8302931,chromosome,NC_000964.3,215404,216894,-,skfC,BSU01935,YP_003097671.1,496,sporulation killing factor biosynthesis and export
938498,chromosome,NC_000964.3,216913,217632,-,skfE,BSU01950,NP_388077.1,239,sporulation killing factor biosynthesis and export; ABC transporter (binding protein)
938494,chromosome,NC_000964.3,217697,219040,-,skfF,BSU01960,NP_388078.2,447,sporulation killing factor biosynthesis and export; ABC transporter (permease)
938502,chromosome,NC_000964.3,219087,219602,-,skfG,BSU01970,NP_388079.2,171,sporulation killing factor biosynthesis and export
938499,chromosome,NC_000964.3,219607,220032,-,skfH,BSU01980,NP_388080.2,141,sibling killing effect; sporulation killing factor biosynthesis and export
938500,chromosome,NC_000964.3,220279,221256,-,ybdG,BSU01990,NP_388081.2,325,putative hydrolase/transferase
938485,chromosome,NC_000964.3,221258,221929,-,ybdJ,BSU02000,NP_388082.1,223,two-component system response regulator
938496,chromosome,NC_000964.3,221950,222912,-,ybdK,BSU02010,NP_388083.1,320,two-component system sensor histidine kinase
8303143,chromosome,NC_000964.3,222971,223234,-,ybzI,BSU02019,YP_003097672.1,87,conserved protein of unknown function
938464,chromosome,NC_000964.3,223219,223989,-,ybdM,BSU02030,NP_388085.1,256,putative protein kinase
938489,chromosome,NC_000964.3,224075,224932,-,ybdN,BSU02040,NP_388086.1,285,putative phage protein; prophage region 1
938493,chromosome,NC_000964.3,225064,226248,-,ybdO,BSU02050,NP_388087.1,394,putative phage protein; prophage region 1
938470,chromosome,NC_000964.3,226566,227954,-,ybxG,BSU02060,NP_388088.1,462,putative amino acid permease
938448,chromosome,NC_000964.3,228066,228314,-,csgA,BSU02070,NP_388089.1,82,sporulation-specific SASP protein
938445,chromosome,NC_000964.3,228331,228522,-,ybxH,BSU02080,NP_388090.1,63,conserved protein of unknown function
938466,chromosome,NC_000964.3,228549,229352,-,ybxI,BSU02090,NP_388091.1,267,exported beta-lactamase
938449,chromosome,NC_000964.3,229525,230778,-,cypC,BSU02100,NP_388092.1,417,fatty acid beta-hydroxylating cytochrome P450
938450,chromosome,NC_000964.3,230819,231079,-,ybyB,BSU02110,NP_388093.1,86,conserved protein of unknown function
938442,chromosome,NC_000964.3,231348,232967,-,ybeC,BSU02120,NP_388094.2,539,putative H+/amino acid transporter
938446,chromosome,NC_000964.3,233014,233895,-,glpQA,BSU02130,NP_388095.1,293,secreted glycerophosphoryl diester phosphodiesterase
938447,chromosome,NC_000964.3,233994,235328,-,glpT,BSU02140,NP_388096.1,444,sn-glycerol-3-phosphate permease
938444,chromosome,NC_000964.3,235625,235873,-,ybeF,BSU02150,NP_388097.1,82,conserved protein of unknown function
938439,chromosome,NC_000964.3,235965,236882,-,ybfA,BSU02160,NP_388098.1,305,putative transcriptional regulator with acetyltransferase domain
938436,chromosome,NC_000964.3,236879,238129,-,ybfB,BSU02170,NP_388099.1,416,putative carboxylate transporter
938441,chromosome,NC_000964.3,238644,239555,-,ybfF,BSU02190,NP_388101.1,303,conserved protein of unknown function
938433,chromosome,NC_000964.3,239644,241842,-,ybfG,BSU02200,NP_388102.1,732,putative pepdidoglycan binding protein
938440,chromosome,NC_000964.3,241917,242837,-,ybfH,BSU02210,NP_388103.1,306,putative permease
938437,chromosome,NC_000964.3,242834,243661,-,ybfI,BSU02220,NP_388104.1,275,"putative transcriptional regulator (AraC/XylS family, cupin family)"
